timestamp,event_type,details
2025-06-04T15:35:05.311800700+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051053117851 }, name: None, event_type: MouseMove { x: 491.0, y: 165.0 } }"
2025-06-04T15:35:05.313758+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051053137441 }, name: None, event_type: MouseMove { x: 502.0, y: 167.0 } }"
2025-06-04T15:35:05.317812300+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051053177978 }, name: None, event_type: MouseMove { x: 513.0, y: 169.0 } }"
2025-06-04T15:35:05.321766300+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051053217517 }, name: None, event_type: MouseMove { x: 523.0, y: 172.0 } }"
2025-06-04T15:35:05.325772400+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051053257576 }, name: None, event_type: MouseMove { x: 532.0, y: 177.0 } }"
2025-06-04T15:35:05.329784400+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051053297673 }, name: None, event_type: MouseMove { x: 541.0, y: 181.0 } }"
2025-06-04T15:35:05.333794800+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051053337772 }, name: None, event_type: MouseMove { x: 550.0, y: 184.0 } }"
2025-06-04T15:35:05.337796300+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051053377813 }, name: None, event_type: MouseMove { x: 559.0, y: 188.0 } }"
2025-06-04T15:35:05.341789500+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051053417738 }, name: None, event_type: MouseMove { x: 567.0, y: 193.0 } }"
2025-06-04T15:35:05.345765700+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051053457522 }, name: None, event_type: MouseMove { x: 576.0, y: 198.0 } }"
2025-06-04T15:35:05.349970100+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051053499533 }, name: None, event_type: MouseMove { x: 585.0, y: 202.0 } }"
2025-06-04T15:35:05.353794500+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051053537811 }, name: None, event_type: MouseMove { x: 592.0, y: 206.0 } }"
2025-06-04T15:35:05.357788700+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051053577742 }, name: None, event_type: MouseMove { x: 599.0, y: 212.0 } }"
2025-06-04T15:35:05.361795600+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051053617794 }, name: None, event_type: MouseMove { x: 608.0, y: 217.0 } }"
2025-06-04T15:35:05.366076600+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051053660433 }, name: None, event_type: MouseMove { x: 616.0, y: 222.0 } }"
2025-06-04T15:35:05.369765300+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051053697510 }, name: None, event_type: MouseMove { x: 625.0, y: 229.0 } }"
2025-06-04T15:35:05.373795+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051053737806 }, name: None, event_type: MouseMove { x: 634.0, y: 234.0 } }"
2025-06-04T15:35:05.377784500+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051053777695 }, name: None, event_type: MouseMove { x: 642.0, y: 240.0 } }"
2025-06-04T15:35:05.381780300+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051053817561 }, name: None, event_type: MouseMove { x: 651.0, y: 246.0 } }"
2025-06-04T15:35:05.383779700+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051053837666 }, name: None, event_type: MouseMove { x: 659.0, y: 252.0 } }"
2025-06-04T15:35:05.388017100+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051053879882 }, name: None, event_type: MouseMove { x: 669.0, y: 258.0 } }"
2025-06-04T15:35:05.391776400+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051053917604 }, name: None, event_type: MouseMove { x: 678.0, y: 264.0 } }"
